,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
221,San Francisco,California,739426,10.5,21.8,69.3,12.0,14.7,5.9,3.7,43.4,13.8,20.8
222,San Joaquin,California,664116,25.0,27.6,67.5,14.7,17.2,4.9,6.4,27.0,16.5,28.8
223,San Luis Obispo,California,255478,19.1,14.2,75.9,11.1,9.4,5.4,5.5,8.700000000000003,14.5,24.9
224,San Mateo,California,699610,14.4,18.8,71.0,6.8,10.2,5.3,4.2,31.5,12.0,21.6
225,Santa Barbara,California,400762,17.4,20.4,71.5,13.1,12.8,5.1,5.7,10.900000000000006,17.9,28.5
226,Santa Clara,California,1699052,17.4,18.4,71.4,8.8,11.0,5.2,5.9,36.8,11.6,22.6
227,Santa Cruz,California,249666,17.9,16.8,64.9,11.3,10.9,5.3,6.9,9.099999999999994,16.6,17.7
228,Shasta,California,179904,23.2,12.5,73.1,13.4,11.2,5.3,5.6,9.099999999999994,15.2,27.6
231,Solano,California,411593,20.9,18.6,72.0,8.4,10.2,5.0,6.4,36.0,13.3,21.9
232,Sonoma,California,466477,20.7,18.2,72.5,8.8,10.1,5.3,6.3,9.799999999999997,13.7,17.1
233,Stanislaus,California,505505,25.4,28.2,74.6,14.2,17.7,4.9,10.0,12.900000000000006,17.7,24.6
237,Tulare,California,410874,24.9,34.9,73.3,21.5,21.6,4.7,9.7,9.099999999999994,24.4,22.4
239,Ventura,California,796106,19.5,21.5,72.9,9.8,12.6,5.0,7.0,12.099999999999994,16.4,27.7
242,Adams,Colorado,399426,22.2,25.0,78.1,10.5,13.0,6.7,6.6,10.200000000000003,15.1,22.0
243,Alamosa,Colorado,15282,18.2,19.3,83.9,18.4,9.8,6.8,5.5,7.5,21.3,19.0
244,Arapahoe,Colorado,529090,17.2,17.6,77.1,7.9,6.0,7.0,5.1,17.599999999999994,11.8,19.9
248,Boulder,Colorado,280440,10.9,10.3,69.3,9.5,4.7,7.3,3.8,7.099999999999994,14.0,16.8
257,Delta,Colorado,29947,17.8,24.5,75.8,13.2,13.8,7.4,7.4,2.9000000000000057,17.5,26.9
258,Denver,Colorado,557917,16.2,22.8,76.1,15.1,14.2,7.1,5.2,17.099999999999994,18.1,20.8
260,Douglas,Colorado,249416,11.4,11.4,77.7,2.2,1.9,6.7,4.0,7.200000000000003,11.2,15.6
261,Eagle,Colorado,47530,13.8,15.0,71.9,6.4,9.1,7.2,0.5,2.700000000000003,16.4,15.5
263,El Paso,Colorado,565582,18.0,17.1,78.1,10.4,5.4,6.9,4.0,14.200000000000003,12.7,18.9
264,Fremont,Colorado,47766,15.1,20.9,79.3,14.0,14.0,7.6,4.8,8.700000000000003,14.0,23.5
265,Garfield,Colorado,49810,11.6,8.7,70.2,8.5,9.3,6.9,5.5,3.0999999999999943,13.6,20.4
272,Jefferson,Colorado,526801,14.2,13.9,74.9,6.8,5.5,7.2,4.1,6.200000000000003,11.6,20.8
276,La Plata,Colorado,47452,8.7,12.1,67.8,10.6,5.6,7.4,1.4,8.599999999999994,13.8,16.5
277,Larimer,Colorado,271927,12.8,13.6,75.8,9.3,4.9,7.2,3.5,5.099999999999994,12.4,18.4
280,Logan,Colorado,20719,25.3,25.7,81.0,12.8,11.4,7.1,6.2,4.0,15.5,22.6
281,Mesa,Colorado,129872,18.3,17.9,76.8,11.1,9.9,7.2,3.9,3.700000000000003,14.4,24.1
285,Montrose,Colorado,37482,18.0,28.6,76.8,12.3,12.8,7.1,4.2,3.700000000000003,17.3,21.3
286,Morgan,Colorado,27995,25.6,34.4,77.4,12.8,17.5,6.7,4.2,2.700000000000003,19.3,21.9
293,Pueblo,Colorado,151322,22.6,22.7,78.8,15.2,12.1,7.1,9.0,6.299999999999997,17.2,28.8
304,Weld,Colorado,228943,22.0,24.5,78.4,10.3,12.3,6.8,4.8,4.200000000000003,14.4,20.3
306,Fairfield,Connecticut,902775,16.3,20.6,70.3,7.3,10.4,6.9,5.1,16.299999999999997,9.7,24.0
307,Hartford,Connecticut,877393,19.2,21.1,70.6,9.2,11.9,7.0,6.3,18.400000000000006,10.9,25.2
308,Litchfield,Connecticut,190071,17.7,19.4,69.2,5.5,9.9,7.2,5.8,4.0,7.7,23.7
309,Middlesex,Connecticut,163214,18.8,18.0,73.5,5.1,7.8,7.2,5.2,8.200000000000003,7.0,25.2
310,New Haven,Connecticut,846766,21.0,25.4,70.5,9.4,11.4,7.0,7.3,17.599999999999994,10.9,25.4
311,New London,Connecticut,266618,19.3,20.3,72.0,6.6,9.4,7.0,6.6,12.400000000000006,8.9,25.3
312,Tolland,Connecticut,147634,18.7,17.8,73.3,5.3,6.9,7.1,4.2,7.400000000000006,7.5,20.2
313,Windham,Connecticut,115826,23.5,24.9,71.2,8.1,13.5,7.1,7.4,5.299999999999997,9.9,29.8
314,Kent,Delaware,143968,25.2,26.9,80.4,10.6,13.3,5.7,8.5,26.299999999999997,12.0,28.6
315,New Castle,Delaware,523008,20.5,23.0,78.2,8.2,9.6,5.8,6.6,27.700000000000003,9.8,25.8
316,Sussex,Delaware,176548,24.5,27.9,78.9,10.0,16.8,6.0,8.9,16.5,12.2,32.5
318,Alachua,Florida,223852,17.5,23.3,73.7,16.1,6.8,5.5,7.1,26.299999999999997,15.0,23.1
320,Bay,Florida,161558,20.5,23.7,76.6,12.8,12.9,5.4,6.9,15.599999999999994,13.2,22.4
322,Brevard,Florida,531250,20.3,23.7,76.4,10.1,9.7,5.5,8.8,13.099999999999994,11.1,31.5
323,Broward,Florida,1777638,18.8,25.8,70.3,12.5,12.1,5.3,7.1,29.599999999999994,14.9,24.8
325,Charlotte,Florida,157536,23.1,22.9,73.2,9.3,14.1,5.9,9.1,7.299999999999997,10.1,37.6
326,Citrus,Florida,134370,17.6,28.7,71.9,12.4,16.6,5.8,11.6,5.099999999999994,12.5,38.9
327,Clay,Florida,171095,20.6,21.4,75.6,7.4,8.9,5.2,7.9,13.400000000000006,10.5,21.8
328,Collier,Florida,307242,19.8,21.3,73.4,9.6,13.1,5.5,8.4,8.0,11.7,29.0
332,Duval,Florida,826436,24.4,24.2,77.6,12.8,11.1,5.1,6.5,35.3,13.1,29.4
333,Escambia,Florida,296772,27.0,27.9,72.7,15.7,11.6,5.3,8.4,28.599999999999994,14.6,33.3
334,Flagler,Florida,76410,14.1,21.8,65.6,8.2,10.5,5.8,9.7,12.0,8.7,34.3
343,Hernando,Florida,158409,21.5,29.9,71.5,12.1,15.8,5.7,10.3,6.599999999999994,11.5,26.3
344,Highlands,Florida,95496,20.7,28.2,72.4,13.9,18.7,5.7,9.6,12.0,16.2,42.7
345,Hillsborough,Florida,1132152,21.9,25.5,77.1,13.0,12.5,5.2,8.0,21.299999999999997,14.1,22.8
347,Indian River,Florida,128594,19.0,19.7,71.1,10.0,13.5,5.7,7.4,10.200000000000003,10.1,28.0
351,Lake,Florida,277035,21.4,23.0,72.2,10.2,14.8,5.6,7.8,11.599999999999994,11.3,34.4
352,Lee,Florida,544758,18.7,27.4,75.8,10.2,12.8,5.6,9.8,10.0,12.1,30.9
353,Leon,Florida,245756,16.2,20.6,77.4,14.0,6.5,5.3,4.6,34.2,13.3,19.6
357,Manatee,Florida,306779,18.4,26.9,69.7,10.8,13.2,5.5,8.2,11.200000000000003,11.9,31.1
358,Marion,Florida,303442,23.7,26.1,76.1,14.0,15.5,5.6,9.4,14.099999999999994,13.7,35.0
359,Martin,Florida,139728,13.9,24.2,74.5,9.2,11.0,5.7,6.4,7.799999999999997,10.1,26.4
360,Miami-Dade,Florida,2376014,19.0,34.6,79.0,18.9,21.1,5.2,8.1,23.5,20.4,24.2
361,Monroe,Florida,76329,20.0,21.2,73.1,10.2,11.7,5.8,7.2,7.700000000000003,13.4,26.3
363,Okaloosa,Florida,182172,20.7,19.3,73.3,9.9,8.0,5.3,7.6,15.799999999999997,11.9,28.5
365,Orange,Florida,1023023,19.5,25.9,78.3,13.2,11.6,5.2,7.2,27.5,15.4,23.6
366,Osceola,Florida,231578,22.2,29.0,77.6,13.1,13.5,5.2,7.3,15.599999999999994,14.5,19.7
367,Palm Beach,Florida,1268548,18.3,23.4,69.9,10.9,11.6,5.5,7.8,19.5,12.5,27.8
368,Pasco,Florida,429065,23.1,24.9,76.3,11.9,16.0,5.5,8.1,6.5,11.5,34.8
369,Pinellas,Florida,928032,19.0,24.2,72.0,12.1,11.7,5.6,8.5,14.400000000000006,11.8,28.4
370,Polk,Florida,542912,27.9,32.9,75.2,14.0,16.8,5.3,9.2,17.099999999999994,14.7,29.2
371,Putnam,Florida,73568,30.5,29.6,80.9,18.7,19.9,5.3,11.6,19.299999999999997,18.1,32.4
372,St. Johns,Florida,161525,16.8,22.2,76.4,8.1,8.9,5.5,6.4,8.599999999999994,7.7,27.3
373,St. Lucie,Florida,241305,23.0,25.0,76.2,12.9,15.5,5.5,10.4,19.200000000000003,12.4,34.7
374,Santa Rosa,Florida,143105,19.3,24.6,75.6,10.0,9.8,5.3,4.8,9.099999999999994,10.7,24.6
375,Sarasota,Florida,366256,18.0,21.6,72.7,8.4,9.9,5.8,6.4,6.599999999999994,8.6,28.5
376,Seminole,Florida,401619,16.3,19.4,78.9,9.1,7.5,5.3,6.3,16.099999999999994,12.3,24.8
381,Volusia,Florida,490055,21.9,27.2,75.3,12.2,12.7,5.6,9.2,12.700000000000003,13.1,31.0
