,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
863,Polk,Iowa,401006,22.8,21.3,82.8,8.6,7.80487075006359,5.54829603547079,6.5,9.700000000000003,8.562216026692868,21.8
864,Pottawattamie,Iowa,89738,26.8,26.3,82.5,10.2,10.805901624729769,5.617464173482806,8.3,3.0999999999999943,9.829726537252892,28.0
865,Poweshiek,Iowa,18925,26.0,23.5,79.4,9.0,8.792602377807134,5.822985468956407,7.3,2.5,6.927344782034346,33.8
867,Sac,Iowa,10621,23.8,28.0,81.2,9.0,11.185387439977404,5.828076452311459,4.9,1.2000000000000028,10.71462197533189,26.1
868,Scott,Iowa,160998,20.5,20.1,81.3,10.3,9.057255369631921,5.5795724170486585,6.9,10.099999999999994,9.613784022161767,23.7
869,Shelby,Iowa,12634,26.0,22.9,78.7,7.8,9.379452271647933,5.754313756529998,2.7,1.0999999999999943,7.812252651575115,29.0
870,Sioux,Iowa,32277,17.6,21.5,83.5,6.5,11.658456486042693,5.483781020540943,4.3,1.5999999999999943,7.274529850977476,16.5
871,Story,Iowa,79952,17.2,14.8,79.9,9.8,3.5658895337202323,5.949819891935161,4.5,8.799999999999997,7.056734040424255,15.5
872,Tama,Iowa,17919,25.6,22.8,80.1,8.9,10.659076957419499,5.614152575478543,5.2,8.0,10.25168815224064,23.9
873,Taylor,Iowa,6614,27.3,29.0,85.8,10.7,12.004838221953431,5.805866344118536,10.6,0.7000000000000028,14.439068642273964,26.2
874,Union,Iowa,11972,28.0,23.8,78.2,11.1,9.104577347143335,5.788506515202138,7.9,1.2000000000000028,9.179752756431673,28.1
876,Wapello,Iowa,35965,24.8,27.6,79.8,12.2,12.678993465869596,5.719449464757402,6.2,3.0999999999999943,11.07187543445016,27.2
877,Warren,Iowa,42981,26.0,21.1,81.7,6.0,6.584304692771224,5.655987529373444,6.1,1.9000000000000057,6.488913706056164,26.8
878,Washington,Iowa,21457,25.3,22.4,82.7,7.7,11.958801323577388,5.625203896164422,4.2,1.4000000000000057,9.34893041897749,23.4
880,Webster,Iowa,39003,26.0,28.2,83.0,10.8,10.529959233905084,5.661102992077533,9.8,6.200000000000003,9.824885265236007,31.5
881,Winnebago,Iowa,11351,25.6,18.2,76.4,8.3,8.836225883182099,5.779226499867853,7.7,1.7000000000000028,7.972865826799401,23.8
882,Winneshiek,Iowa,21234,19.5,29.3,78.3,7.8,9.965150230761985,5.849109918055948,4.6,1.9000000000000057,6.061034190449279,19.2
883,Woodbury,Iowa,102605,23.0,26.1,82.9,11.2,11.957506944106038,5.418839237853906,4.6,8.400000000000006,12.779104332147556,23.9
885,Wright,Iowa,13647,19.3,29.0,81.2,8.3,10.94746098043526,5.744852348501502,6.4,1.0999999999999943,9.628489777973181,25.2
890,Barton,Kansas,28105,27.0,26.5,80.8,12.4,11.802170432307419,6.2586728340153,8.2,3.5,13.189823874755383,31.4
893,Butler,Kansas,62354,25.7,22.8,81.3,8.4,8.254482471052379,6.185649677646984,6.7,4.5,9.271257657888828,21.1
903,Cowley,Kansas,35298,29.2,32.8,82.6,13.4,9.43679528585189,6.209983568474135,8.4,8.400000000000006,12.30664626891042,30.4
904,Crawford,Kansas,38222,23.6,23.8,81.2,15.2,9.656742190361573,6.386374339385695,7.0,6.599999999999994,13.125948406676782,24.1
906,Dickinson,Kansas,19209,27.0,29.2,78.4,9.2,9.354989848508511,6.392836691134364,5.8,2.700000000000003,9.958873444739446,28.9
908,Douglas,Kansas,102914,17.0,19.3,79.6,12.4,4.284159589560215,6.532638902384515,3.6,12.5,11.022795732359057,14.9
911,Ellis,Kansas,26767,17.2,21.3,81.2,10.6,7.8977845854970665,6.504277655321851,5.0,3.0999999999999943,9.780700115814248,15.4
913,Finney,Kansas,38988,23.1,36.3,84.0,13.2,18.68010669949728,5.496563045039499,5.5,6.099999999999994,20.05488868369755,25.1
914,Ford,Kansas,33751,24.9,27.9,83.0,11.8,17.786139669935704,5.688720334212319,5.9,5.700000000000003,16.944683120500134,23.0
915,Franklin,Kansas,26247,27.2,28.4,82.1,9.9,9.570617594391742,6.214043509734446,5.5,4.299999999999997,10.660265935154493,35.0
